,n_present,mean,median,std
/mobileye/39,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/40,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/41,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/42,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/43,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/44,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/45,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/46,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/47,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/48,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/49,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/50,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/51,1416.0,32.24929378531073,32.0,19.03451739888893
/vehicle/acceleration,2677.0,58.99626447515876,59.0,0.19323895638965355
/vehicle/analog/back_signal,2683.0,118.9925456578457,119.0,0.38604569142673295
/vehicle/analog/brake_signal,2683.0,118.9925456578457,119.0,0.38604569142673295
/vehicle/analog/speed_pulse,2683.0,118.9925456578457,119.0,0.38604569142673295
/vehicle/analog/turn_signal,2683.0,118.9925456578457,119.0,0.38604569142673295
/vehicle/extracted_can/brake_pedal_hydraulic,2663.0,247.29177619226436,248.0,3.1357022461119204
/vehicle/extracted_can/gas_pedal_position,2501.0,224.90883646541383,253.0,32.76893291976054
/vehicle/extracted_can/headlight_state,2663.0,5.9808486669170104,6.0,0.1526130909970058
/vehicle/extracted_can/seat_belt_state,2663.0,19.916259857303793,20.0,0.3335794268443404
/vehicle/extracted_can/speed,2663.0,122.65189635749155,12.0,117.54094900575878
/vehicle/extracted_can/steering_angle,2663.0,298.6999624483665,299.0,3.5153902280142013
/vehicle/gnss,2595.0,4.986897880539499,5.0,0.16605420562432963
/driver/heart_rate,1760.0,5.971590909090909,6.0,0.28060359601967605
/mobileye/05,521.0,37.965451055662186,56.0,28.996570652982413
/mobileye/1044,878.0,26.27107061503417,25.0,16.786054427034358
/mobileye/1045,878.0,26.27107061503417,25.0,16.786054427034358
/mobileye/1046,878.0,26.27107061503417,25.0,16.786054427034358
/mobileye/1047,878.0,26.27107061503417,25.0,16.786054427034358
/mobileye/1048,878.0,26.27107061503417,25.0,16.786054427034358
/mobileye/1049,878.0,26.27107061503417,25.0,16.786054427034358
/mobileye/1050,878.0,26.27107061503417,25.0,16.786054427034358
/mobileye/52,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/53,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/54,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/55,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/56,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/57,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/58,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/59,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/60,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/61,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/62,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/63,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/64,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/65,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/66,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/67,988.0,24.12145748987854,22.0,17.6827480913448
/mobileye/68,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/69,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/70,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/71,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/72,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/73,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/74,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/75,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/76,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/77,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/78,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/79,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/80,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/81,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/82,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/83,579.0,18.174438687392055,14.0,14.587558382836574
/mobileye/1051,772.0,18.389896373056995,15.0,13.994615970260297
/mobileye/1052,772.0,18.389896373056995,15.0,13.994615970260297
/mobileye/1053,772.0,18.389896373056995,15.0,13.994615970260297
/mobileye/1054,772.0,18.389896373056995,15.0,13.994615970260297
/mobileye/1055,772.0,18.389896373056995,15.0,13.994615970260297
/mobileye/1056,772.0,18.389896373056995,15.0,13.994615970260297
/mobileye/1057,772.0,18.389896373056995,15.0,13.994615970260297
/mobileye/100,125.0,9.664,7.0,8.950480657484267
/mobileye/101,125.0,9.664,7.0,8.950480657484267
/mobileye/102,125.0,9.664,7.0,8.950480657484267
/mobileye/103,125.0,9.664,7.0,8.950480657484267
/mobileye/104,125.0,9.664,7.0,8.950480657484267
/mobileye/105,125.0,9.664,7.0,8.950480657484267
/mobileye/1058,498.0,13.819277108433734,11.0,11.906406677052296
/mobileye/1059,498.0,13.819277108433734,11.0,11.906406677052296
/mobileye/106,125.0,9.664,7.0,8.950480657484267
/mobileye/1060,498.0,13.819277108433734,11.0,11.906406677052296
/mobileye/1061,498.0,13.819277108433734,11.0,11.906406677052296
/mobileye/1062,498.0,13.819277108433734,11.0,11.906406677052296
/mobileye/1063,498.0,13.819277108433734,11.0,11.906406677052296
/mobileye/1064,498.0,13.819277108433734,11.0,11.906406677052296
/mobileye/1065,254.0,11.098425196850394,7.0,11.326670388376462
/mobileye/1066,254.0,11.098425196850394,7.0,11.326670388376462
/mobileye/1067,254.0,11.098425196850394,7.0,11.326670388376462
/mobileye/1068,254.0,11.098425196850394,7.0,11.326670388376462
/mobileye/1069,254.0,11.098425196850394,7.0,11.326670388376462
/mobileye/107,125.0,9.664,7.0,8.950480657484267
/mobileye/1070,254.0,11.098425196850394,7.0,11.326670388376462
/mobileye/1071,254.0,11.098425196850394,7.0,11.326670388376462
/mobileye/1072,121.0,9.867768595041323,5.0,10.610257121194412
/mobileye/1073,121.0,9.867768595041323,5.0,10.610257121194412
/mobileye/1074,121.0,9.867768595041323,5.0,10.610257121194412
/mobileye/1075,121.0,9.867768595041323,5.0,10.610257121194412
/mobileye/1076,121.0,9.867768595041323,5.0,10.610257121194412
/mobileye/1077,121.0,9.867768595041323,5.0,10.610257121194412
/mobileye/1078,121.0,9.867768595041323,5.0,10.610257121194412
/mobileye/1079,56.0,9.142857142857142,6.0,10.153163777556115
/mobileye/108,125.0,9.664,7.0,8.950480657484267
/mobileye/1080,56.0,9.142857142857142,6.0,10.153163777556115
/mobileye/1081,56.0,9.142857142857142,6.0,10.153163777556115
/mobileye/1082,56.0,9.142857142857142,6.0,10.153163777556115
/mobileye/1083,56.0,9.142857142857142,6.0,10.153163777556115
/mobileye/1084,56.0,9.142857142857142,6.0,10.153163777556115
/mobileye/1085,56.0,9.142857142857142,6.0,10.153163777556115
/mobileye/109,125.0,9.664,7.0,8.950480657484267
/mobileye/110,125.0,9.664,7.0,8.950480657484267
/mobileye/111,125.0,9.664,7.0,8.950480657484267
