,/driver/blink/data,/driver/face_pitch/data,/driver/face_roll/data,/driver/face_yaw/data,/mobileye/01/data,/mobileye/02/data,/mobileye/03/data,/mobileye/04/data,/mobileye/06/data,/mobileye/07/data,/mobileye/08/data,/mobileye/09/data,/mobileye/10/data,/mobileye/11/data,/mobileye/12/data,/mobileye/13/data,/mobileye/14/data,/mobileye/15/data,/mobileye/16/data,/mobileye/17/data,/mobileye/18/data,/mobileye/19/data,/mobileye/20/data,/mobileye/21/data,/mobileye/22/data,/mobileye/23/data,/mobileye/24/data,/mobileye/25/data,/mobileye/26/data,/mobileye/27/data,/mobileye/28/data,/mobileye/29/data,/mobileye/30/data,/mobileye/31/data,/mobileye/32/data,/mobileye/33/data,/mobileye/34/data,/mobileye/35/data,/vehicle/acceleration/accel/linear/y,/vehicle/acceleration/accel/linear/x,/vehicle/acceleration/accel/linear/z,/vehicle/acceleration/accel/angular/y,/vehicle/acceleration/accel/angular/x,/vehicle/acceleration/accel/angular/z,/vehicle/analog/back_signal/data,/vehicle/analog/brake_signal/data,/vehicle/analog/speed_pulse/data,/vehicle/analog/turn_signal/data,/vehicle/extracted_can/brake_pedal_hydraulic/data,/vehicle/extracted_can/gas_pedal_position/data,/vehicle/extracted_can/headlight_state/data,/vehicle/extracted_can/seat_belt_state/data,/vehicle/extracted_can/speed/data,/vehicle/extracted_can/steering_angle/data,/vehicle/gnss/altitude,/vehicle/gnss/latitude,/vehicle/gnss/longitude,/vehicle/gnss/position_covariance,/vehicle/gnss/position_covariance_type,/vehicle/gnss/status
2017-01-22 08:39:58.480000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31200000643730164,0.0,,,,-88.5,,,,,,
2017-01-22 08:39:58.500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.137,0.027,1.008,0.0,0.0,0.0,False,True,9.0,2.0,,,,,,-90.0,,,,,,
2017-01-22 08:39:58.519999980,,,,,2.0,2.0,-1.8200000524520874,0.9599999785423279,0.0054264068603515625,0.0,-0.12484607845544815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.625,-2048.0,250.0,0.0,8.0,41.625,4.5625,0.0,0.0,10.375,0.0,3.0,0.0,-1.0,1.399999976158142,254.0,2.0,-2048.0,14.850000381469727,-6.329999923706055,,,,,,,,,,,0.31200000643730164,0.0,,,,-90.0,,,,,,
2017-01-22 08:39:58.539999961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31200000643730164,0.0,,,,-91.5,,,,,,
2017-01-22 08:39:58.549999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,9.0,2.0,,,,,,,,,,,,
2017-01-22 08:39:58.559999942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31200000643730164,0.0,,,,-91.5,,,,,,
2017-01-22 08:39:58.579999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3240000009536743,0.0,,,,-93.0,,,,,,
2017-01-22 08:39:58.599999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.156,-0.043,1.035,0.0,0.0,0.0,False,True,9.0,0.0,,0.0,,,,-94.5,,,,,,
2017-01-22 08:39:58.619999885,,,,,2.0,2.0,-1.840000033378601,0.9599999785423279,0.0072574615478515625,0.0,-0.12484607845544815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.5625,-2048.0,250.0,0.0,8.0,42.5625,4.8125,0.0,0.0,10.3125,0.0,3.0,0.0,-1.0,1.399999976158142,254.0,2.0,-2048.0,14.279999732971191,-6.539999961853027,,,,,,,,,,,0.335999995470047,0.0,,,,-94.5,,,,,,
2017-01-22 08:39:58.640000104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335999995470047,,,False,,-96.0,,,,,,
